Floor Area (ft^2) ,ENERGY_STAR_Score,SiteEUI,Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Total GHG Emissions (MtCO2e)
"40,199",,27.5,61.4,27.5,61.4,76.5
"21,300",13,252.6,793.1,247.3,776.5,438.7
"12,000",,44.5,120.2,48.3,124.2,40.4
"20,364",,66.8,115,66.8,115,84.7
"13,000",,14.9,35,15.7,35.7,13.7
"32,654",86,24,75.5,24,75.5,44.6
"28,300",,28.9,90.7,28.9,90.7,39.4
"30,964",100,1.8,5.8,1.8,5.8,4.6
"16,400",75,28.7,85.2,27.8,82.5,32.7
"170,344",,19,59.1,19.1,59.2,262.5
"43,125",,22.5,70.7,22.5,70.7,49.8
"13,973",100,5.7,18,5.7,18,6.5
"12,000",66,40,125.6,40,125.6,39.1
"69,728",95,8.5,14.6,8.5,14.6,36.9
"19,500",,170.4,340.3,168.9,335.6,219.2
"18,000",,21.2,66.1,20.6,64.1,31
"15,900",,23.5,40.6,23.5,40.6,23.3
"12,342",74,74.6,231.5,75.1,232.1,74.6
"11,760",,205.1,337.8,213.8,346.9,147.7
"18,710",,53.2,115.9,53.3,114.9,68.1
"82,250",43,80,185.4,83.7,189.3,462.9
"171,562",,17.8,53.9,17.8,53.9,165.3
"40,042",,96.2,193.3,96.2,193.3,153
"12,000",90,30.9,82.6,33.2,85,53.9
"26,000",96,17.3,33.5,19.7,36.1,29.3
"44,309",,285.2,631.9,288.4,625.4,871.5
"225,000",31,100.8,184.5,104.7,186.6,1445.3
"24,280",,219.3,421.1,215.9,410.3,345.8
"115,708",,108.3,246.5,111.6,250.1,585.4
"76,197",,161.7,304.5,161,296.2,793.9
"38,051",,9.7,23.1,9.9,23.5,26.3
"90,000",49,69.1,113.2,68.7,112.1,380
"37,520",69,52.4,85.6,51.4,87,120.1
"12,920",,92.4,218.6,98.5,225,84.8
"10,300",,96.6,204.4,96.6,204.4,67.3
"19,487",68,100.7,149.7,101.9,153.3,115.9
"50,700",,23.9,69,25.3,70.4,94.7
"82,370",,6.7,21.1,6.7,21.1,45
"93,330",,28.3,56.3,32,62.8,110.1
"13,976",61,63.4,109.5,65.1,112.7,55.3
"80,700",27,105.5,268.6,105.5,268.6,625.4
"57,649",,95.1,201.5,96.6,203,371
"21,895",56,177,286.1,185,296.3,235.6
"93,103",,68.2,145.5,70.9,148.4,430.7
"10,467",,39,109.9,39,109.9,31.5
"94,981",,90.8,178.7,92.6,176.5,565.6
"29,190",98,28.4,89.3,28.4,89.3,40.6
"15,812",80,12.8,18.1,16.5,21.9,11.8
"37,500",36,93.9,199.7,95,197.4,238.6
"34,572",89,37.2,110.5,37.2,110.5,101.9
"16,920",52,46.2,85.2,46.2,85.2,49.9
"69,084",,68.8,145.8,76.1,153.5,321.7
"17,544",90,26.7,75.6,26.7,75.6,36.2
"80,329",1,426,860.4,445.5,880.9,1134.5
"204,509",86,32,73.7,35.6,77.5,459.1
"90,589",,67.2,167.9,71.7,172.6,443.3
"23,260",87,28,87.2,28,87.2,52.9
"42,255",58,55.6,125.8,57.5,127.9,163.5
"11,209",62,60.3,168.6,63.8,172.3,42.3
"16,997",,32.1,71.9,32.1,71.9,23.3
"25,108",78,51,109.2,51,109.2,87
"14,800",57,43.7,132.1,43.7,132.1,51.7
"10,755",,57,151.6,59.8,154.5,46
"12,031",,140.5,188.8,154.7,204.3,96.6
"10,906",,201.2,554.5,197,541.1,167.5
"16,394",56,71.6,132,74.6,141.4,75
"68,000",92,22.6,63.2,24.2,64.8,118.2
"17,000",97,20.1,61.3,20.4,61.6,27.5
"15,000",46,51.2,144.1,52.3,145.2,59.2
"23,111",,26.8,84.1,26.8,84.1,50.5
"199,978",,211.3,389.5,216.3,387.5,1737.7
"14,525",,34.5,105.5,35,106,40.3
"40,328",21,74.2,162.8,76.1,168.6,129.7
"35,097",,96.9,254.3,97.6,250.9,145.2
"32,700",,52.8,131.4,54.4,131.9,80.6
"31,930",,22.2,46.7,26.2,51.8,47.8
"28,800",39,71.5,172.7,77,178.5,147.6
"10,737",1,323.8,354.9,323.8,354.9,186.9
"10,633",,33.2,94.7,33.2,94.7,27.4
"47,000",,145.7,193,145.7,193,389.3
"17,546",,14.8,38.1,15.7,39,19.1
"15,360",9,287.9,666,302.9,681.7,310.9
"71,114",43,75.4,226.9,73.1,219.9,427.6
"28,079",2,135.3,302,144.2,311.3,262.9
"19,751",73,57.5,108.2,57.5,108.2,73.2
"15,500",38,66.1,184.8,66.1,184.8,78.8
"401,090",96,198.6,430,205.6,437.3,5439.7
"31,879",52,109.4,198.2,109.4,198.2,221.4
"12,998",,54,169,54,169,57.1
"67,600",77,72.1,110.4,81,119.8,290.8
"30,044",34,118.6,183.3,118.6,183.3,213.3
"21,906",22,294.2,705.4,299.1,703.6,460.5
"154,737",77,85.1,191.4,84.2,188.6,458.5
"96,035",81,35.1,60.2,39.1,65.4,209.6
"16,669",55,123,386.2,123,386.2,167.2
"30,000",,49.9,156.5,47.6,149.4,121.9
"12,872",,25,71.5,26.1,72.7,25
